Stock quote and option quote for AMZN on 4/10/26 07:31:41

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
233.65,Q,0,234.00,Q,234.10,P,900 x 500,"668,709",0,0,0

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
0,<empty>,32.59,<empty>,--,,258.60,165.285,"10,754,251,799",1.85

10 APR 26  (0)  100 (Weeklys)
,,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,,
,,<empty>,17,0.00%,100.00%,<empty>,1.00,--,111.95, ,114.85, ,10 APR 26,120,0, ,.01, ,<empty>,147,99.92%,0.08%,<empty>,.00,690.04%,,
,,<empty>,11,0.00%,100.00%,<empty>,1.00,--,106.90, ,109.85, ,10 APR 26,125,0, ,.01, ,<empty>,2,99.92%,0.08%,<empty>,.00,649.91%,,
,,<empty>,31,0.00%,100.00%,<empty>,1.00,--,101.95, ,104.85, ,10 APR 26,130,0, ,.01, ,<empty>,171,99.92%,0.08%,<empty>,.00,611.32%,,
,,<empty>,38,0.00%,100.00%,<empty>,1.00,--,96.45, ,99.85, ,10 APR 26,135,0, ,.23, ,<empty>,24,98.84%,1.16%,<empty>,-.01,776.88%,,
,,<empty>,9,0.00%,100.00%,<empty>,1.00,--,92.00, ,94.60, ,10 APR 26,140,0, ,.23, ,<empty>,26,98.82%,1.18%,<empty>,-.01,729.60%,,
,,<empty>,27,0.00%,100.00%,<empty>,1.00,--,86.90, ,89.95, ,10 APR 26,145,0, ,.02, ,<empty>,194,99.84%,0.16%,<empty>,.00,533.05%,,
,,<empty>,8,0.00%,100.00%,<empty>,1.00,--,81.45, ,84.55, ,10 APR 26,150,0, ,.01, ,<empty>,89,99.91%,0.09%,<empty>,.00,469.87%,,
,,<empty>,42,0.00%,100.00%,<empty>,1.00,--,76.50, ,79.95, ,10 APR 26,155,0, ,.04, ,<empty>,"3,756",99.69%,0.31%,<empty>,.00,493.42%,,
,,<empty>,30,0.00%,100.00%,<empty>,1.00,--,71.50, ,74.90, ,10 APR 26,160,0, ,.01, ,<empty>,"2,688",99.90%,0.10%,<empty>,.00,405.61%,,
,,<empty>,14,0.00%,100.00%,<empty>,1.00,--,66.45, ,69.85, ,10 APR 26,165,0, ,.01, ,<empty>,"2,976",99.90%,0.10%,<empty>,.00,374.82%,,
