Stock quote and option quote for ORCL on 4/13/26 17:55:59

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
155.62,N,+17.53,157.84,K,158.00,U,80 x 200,"49,717,498",139.77,155.91,139.72

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
0,1.29%,27.94,.5,Q,4/9/26,345.72,121.235,"2,876,046,000",custom expression subscription limit exceeded

Theo parameters
Theo date,Theo stock price,Theo volatility
4/13/26, 0.00$, 0.00%

17 APR 26  (4)  100
,,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,Gamma,Rho,Theta,Vega,Extrinsic,Intrinsic,High,Low,Theo Price,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,Gamma,Rho,Theta,Vega,Extrinsic,Intrinsic,High,Low,Theo Price,,
,,44,1,0.00%,100.00%,162 x 164,1.00,--,.00,.00,.00,.08,-2.64,82.84,78.06,69.12,<empty>,78.85,A,81.55,A,17 APR 26,75,0,N,.01,W,6,198,99.89%,0.11%,<empty>,.00,226.73%,.00,.00,.00,.00,.005,0,.01,.01,23.39,,
,,58,1,0.00%,100.00%,152 x 125,1.00,--,.00,.00,.00,.10,-2.665,77.84,73.42,64.22,<empty>,73.90,A,76.45,A,17 APR 26,80,0,P,.01,W,37,"2,711",99.89%,0.11%,<empty>,.00,208.01%,.00,.00,.00,.00,.005,0,.01,.01,22.70,,
,,20,11,0.00%,100.00%,177 x 155,1.00,--,.00,.00,.00,.12,-2.24,72.84,68.95,60.70,<empty>,68.90,X,72.30,X,17 APR 26,85,0,Q,.01,W,20,"2,372",99.89%,0.11%,<empty>,.00,190.39%,.00,.00,.00,.00,.005,0,.06,.01,21.87,,
,,71,0,0.00%,100.00%,220 x 149,1.00,--,.00,.00,.00,.14,-2.39,67.84,64.05,59.21,<empty>,63.85,J,67.05,X,17 APR 26,90,0,D,.03,D,115,"3,507",99.70%,0.30%,<empty>,.00,191.30%,.00,.00,-.01,.00,.015,0,.06,.01,24.59,,
,,54,29,0.00%,100.00%,204 x 145,1.00,--,.00,.00,.00,.16,-2.34,62.84,58.70,57.28,<empty>,58.90,J,62.10,X,17 APR 26,95,0,C,.03,C,36,"1,142",99.69%,0.31%,<empty>,.00,174.03%,.00,.00,-.01,.00,.015,0,.13,.01,23.44,,
,,34,37,0.00%,100.00%,241 x 40,1.00,--,.00,.00,.00,.18,-2.765,57.84,53.54,42.57,<empty>,53.90,J,56.25,B,17 APR 26,100,0,N,.03,N,150,"1,597",99.67%,0.33%,<empty>,.00,157.96%,.00,.00,-.01,.00,.015,0,.05,.01,22.25,,
,,6,2,0.00%,100.00%,132 x 114,1.00,--,.00,.00,.00,.20,-2.665,52.84,48.98,37.67,<empty>,48.90,A,51.45,A,17 APR 26,105,.01,S,.02,P,622,"3,649",99.66%,0.34%,1 x 22,.00,142.00%,.00,.00,-.01,.00,.015,0,.09,.01,20.81,,
,,107,32,0.00%,100.00%,313 x 38,1.00,--,.00,.00,.00,.22,-2.74,47.84,44.83,31.66,<empty>,43.90,J,46.30,X,17 APR 26,110,0,D,.04,D,353,"5,894",99.55%,0.45%,<empty>,.00,130.66%,.00,.00,-.02,.00,.02,0,.07,.01,20.28,,
,,47,26,0.00%,100.00%,271 x 38,1.00,--,.00,.00,.00,.24,-2.74,42.84,38.70,26.76,<empty>,38.90,J,41.30,B,17 APR 26,115,.01,N,.03,Q,577,"3,118",99.52%,0.48%,8 x 114,.00,115.89%,.00,.00,-.02,.00,.02,0,.08,.01,18.67,,
,,4,6,0.00%,100.00%,133 x 104,1.00,--,.00,.00,.00,.25,-2.565,40.84,38.04,25.75,<empty>,36.90,A,39.65,N,17 APR 26,117,.01,N,.04,C,7,48,99.40%,0.60%,1 x 1,.00,113.01%,.00,.00,-.02,.00,.025,0,.17,.05,18.78,,
