date,open,high,low,close,volume,earnings_report_pm
2026-01-02,272.255000,277.840000,269.000000,271.010000,37838054,0
2026-01-05,270.640000,271.510000,266.140000,267.260000,45647190,0
2026-01-06,267.000000,267.550000,262.120000,262.360000,52352090,0
2026-01-07,263.200000,263.680000,259.810000,260.330000,48309804,0
2026-01-08,257.020000,259.290000,255.700000,259.040000,50419337,0
2026-01-09,259.075000,260.210000,256.220000,259.370000,39996967,0
2026-01-12,259.160000,261.300000,256.800000,260.250000,45263767,0
2026-01-13,258.720000,261.810000,258.390000,261.050000,45730847,0
2026-01-14,259.490000,261.820000,256.710000,259.960000,40019421,0
2026-01-15,260.650000,261.040000,257.050000,258.210000,39388564,0
2026-01-16,257.900000,258.900000,254.930000,255.530000,72142773,0
2026-01-20,252.730000,254.790000,243.420000,246.700000,80267517,0
2026-01-21,248.700000,251.560000,245.180000,247.650000,54641725,0
2026-01-22,249.200000,251.000000,248.150000,248.350000,39708340,0
2026-01-23,247.320000,249.410000,244.680000,248.040000,41688982,0
2026-01-26,251.480000,256.560000,249.800000,255.410000,55969234,0
2026-01-27,259.170000,261.950000,258.210000,258.270000,49648271,0
2026-01-28,257.650000,258.855000,254.510000,256.440000,41287971,0
2026-01-29,258.000000,259.650000,254.410000,258.280000,67253009,1
2026-01-30,255.165000,261.899900,252.180000,259.480000,92443408,0
2026-02-02,260.030000,270.490000,259.205000,270.010000,73913425,0
2026-02-03,269.200000,271.875000,267.610000,269.480000,64394655,0
2026-02-04,272.285000,278.950000,272.285000,276.490000,90545710,0
2026-02-05,278.130000,279.500000,273.230000,275.910000,52977441,0
2026-02-06,277.120000,280.905000,276.925000,278.120000,50453414,0
2026-02-09,277.905000,278.200000,271.700000,274.620000,44623396,0
2026-02-10,274.885000,275.370000,272.940000,273.680000,34376898,0
2026-02-11,274.695000,280.180000,274.450000,275.500000,51931283,0
2026-02-12,275.590000,275.720000,260.180000,261.730000,81077229,0
2026-02-13,262.010000,262.230000,255.450000,255.780000,56290673,0
2026-02-17,258.050000,266.290000,255.540000,263.880000,58469094,0
2026-02-18,263.600000,266.820000,262.450000,264.350000,34203337,0
2026-02-19,262.600000,264.480000,260.050000,260.580000,30845294,0
2026-02-20,258.970000,264.750000,258.160000,264.580000,42070499,0
2026-02-23,263.490000,269.430000,263.381000,266.180000,37308155,0
2026-02-24,267.860000,274.890000,267.710000,272.140000,47014619,0
2026-02-25,271.780000,274.940000,271.050000,274.230000,33714342,0
2026-02-26,274.945000,276.110000,270.795000,272.950000,32345114,0
2026-02-27,272.810000,272.810000,262.890000,264.180000,72366505,0
2026-03-02,262.410000,266.530000,260.200000,264.720000,41827946,0
2026-03-03,263.480000,265.560000,260.130000,263.750000,38568921,0
2026-03-04,264.650000,266.150000,261.420000,262.520000,39803119,0
2026-03-05,260.790000,261.555000,257.250000,260.290000,49658626,0
2026-03-06,258.630000,258.770000,254.370000,257.460000,41120042,0
2026-03-09,255.690000,261.150000,253.680500,259.880000,38218533,0
2026-03-10,257.645000,262.480000,256.950000,260.830000,30590765,0
2026-03-11,261.090000,262.130000,259.550000,260.810000,26218927,0
2026-03-12,258.660000,258.950000,254.180000,255.760000,40794020,0
2026-03-13,255.480000,256.330000,249.520000,250.120000,36929988,0
2026-03-16,252.105000,253.885000,249.880000,252.820000,32074209,0
2026-03-17,252.955000,255.130000,252.180000,254.230000,32361607,0
2026-03-18,252.625000,254.940000,249.000000,249.940000,35757874,0
2026-03-19,249.400000,251.830000,247.300000,248.960000,34864082,0
2026-03-20,247.975000,249.199900,246.000000,247.990000,88331081,0
2026-03-23,253.970000,254.600000,250.280000,251.490000,40546109,0
2026-03-24,250.350000,254.825000,249.550000,251.640000,45152288,0
2026-03-25,254.095000,255.000000,251.600000,252.620000,28476668,0
2026-03-26,252.115000,257.000000,250.770000,252.890000,41796650,0
2026-03-27,253.900000,255.493000,248.070000,248.800000,47899998,0
2026-03-30,250.070000,250.870000,245.510000,246.630000,39446213,0
2026-03-31,247.910000,255.480000,247.101000,253.790000,49598091,0
2026-04-01,254.080000,256.180000,253.330000,255.630000,40059432,0
2026-04-02,254.200000,256.130000,250.650000,255.920000,31289369,0
2026-04-06,256.510000,262.160000,256.460000,258.860000,29329911,0
2026-04-07,256.155000,256.200000,245.700000,253.500000,62148008,0
2026-04-08,258.450000,259.749900,256.530000,258.900000,41032772,0
2026-04-09,259.000000,261.120000,256.070000,260.490000,28121574,0
2026-04-10,259.980000,262.190000,259.023123,260.480000,31291473,0
2026-04-13,259.730000,260.180000,256.660000,259.200000,36234698,0
2026-04-14,259.245000,261.930000,257.190000,258.830000,48370710,0
2026-04-15,258.160000,266.560000,257.810000,266.430000,49913510,0
2026-04-16,266.800000,267.160000,261.270000,263.400000,43323112,0
2026-04-17,266.960000,272.300000,266.720000,270.230000,61436228,0
2026-04-20,270.330000,274.275000,270.290000,273.050000,36590169,0
2026-04-21,271.500000,272.800000,265.400000,266.170000,50209755,0
2026-04-22,267.820000,273.740000,266.870000,273.170000,43249204,0
2026-04-23,275.045000,275.770000,271.650000,273.430000,33399639,0
2026-04-24,272.755000,273.060000,269.650000,271.060000,38157110,0
2026-04-27,266.090000,268.360000,265.070000,267.610000,41466762,0
2026-04-28,272.335000,273.230000,268.660000,270.710000,40018940,0
2026-04-29,267.550000,271.040000,267.040000,270.170000,30047869,0
2026-04-30,270.500000,276.000000,268.140000,271.350000,91848230,1
2026-05-01,278.855000,287.220000,278.370000,280.140000,79915442,0
2026-05-04,279.655000,280.630000,274.860100,276.830000,46668401,0
2026-05-05,276.925000,284.570000,276.501000,284.180000,49311712,0
2026-05-06,281.915000,288.030000,281.070000,287.510000,58336072,0
2026-05-07,289.270000,292.130000,285.780000,287.440000,45224300,0
2026-05-08,290.010000,294.760000,290.000000,293.320000,52692761,0
2026-05-11,291.979000,293.880000,290.230000,292.680000,42247285,0
2026-05-12,292.560000,295.270000,292.560000,294.800000,45748129,0
2026-05-13,293.500000,300.920000,293.500000,298.870000,52684260,0
2026-05-14,299.820000,300.450000,295.380000,298.210000,35324922,0
2026-05-15,297.900000,303.200000,296.520000,300.230000,54862836,0
2026-05-18,300.240000,300.660000,294.910000,297.840000,34482959,0
2026-05-19,296.970000,300.510000,296.350000,298.970000,42243561,0
2026-05-20,298.180000,302.800000,298.080000,302.250000,38229843,0
2026-05-21,301.055000,305.540000,300.400000,304.990000,42965126,0
2026-05-22,306.120000,311.400000,305.840000,308.820000,43670223,0
2026-05-26,309.560000,311.820000,307.670000,308.330000,48000493,0
2026-05-27,308.330000,313.260000,308.300000,310.850000,50430919,0
2026-05-28,310.680000,312.800000,309.570000,312.510000,48220390,0
2026-05-29,311.775000,315.000000,309.530000,312.060000,70026752,0
2026-06-01,309.625000,310.940000,305.020000,306.310000,48849933,0
2026-06-02,307.460000,315.450000,306.685000,315.200000,44534716,0
2026-06-03,314.175000,316.940000,308.850000,310.260000,50836705,0
2026-06-04,313.230000,313.540000,309.650000,311.230000,44869134,0
