event,contract,entry_date,entry_straddle,printday_close,dayafter_close,expiry_close,ret_exit_printday_pct,ret_exit_dayafter_pct,ret_hold_expiry_pct,put_final
SNDK 2025-11-06,165 C+P exp 11-14,2025-10-23,41.10,47.43,75.18,89.11,+15.4,+82.9,+116.8,0.01
MU 2025-12-17,235 C+P exp 12-26,2025-12-03,34.38,26.35,19.50,49.86,-23.4,-43.3,+45.0,0.01
AAPL 2026-01-29,260 C+P exp 02-06,2026-01-14,14.71,14.73,8.35,18.14,+0.1,-43.3,+23.3,0.01
AAPL 2026-04-30,262.5 C+P exp 05-08,2026-04-20,17.98,15.17,18.41,31.26,-15.6,+2.4,+73.9,0.01
GOOG 2026-02-04,330 C+P exp 02-13,2026-01-21,25.68,25.00,15.85,20.59,-2.6,-38.3,-19.8,20.55
GOOG 2026-04-29,335 C+P exp 05-08,2026-04-15,25.18,23.21,47.85,62.74,-7.8,+90.0,+149.2,0.01
MU 2026-03-18,400 C+P exp 03-27,2026-03-04,65.73,73.05,53.36,42.84,+11.1,-18.8,-34.8,42.83
MU 2026-06-24,935 C+P exp 07-02,2026-06-09,203.80,178.86,289.20,41.09,-12.2,+41.9,-79.8,0.06
SNDK 2026-01-29,390 C+P exp 02-06,2026-01-14,87.90,158.93,188.28,209.11,+80.8,+114.2,+137.9,0.01
SNDK 2026-04-30,920 C+P exp 05-08,2026-04-16,214.10,214.95,275.53,640.31,+0.4,+28.7,+199.1,0.01
