expiry,strike,type,mark,iv,delta,open_interest,volume_today
2026-07-17,500,C,405.50,4.2930,0.9791,3105,57
2026-07-17,500,P,0.07,2.7678,-0.0013,9203,403
2026-07-17,600,C,306.50,3.3224,0.9641,2474,63
2026-07-17,600,P,0.19,2.1731,-0.0041,26296,2278
2026-07-17,700,C,206.78,2.2825,0.9459,4911,309
2026-07-17,700,P,0.52,1.6125,-0.0134,10563,1558
2026-07-17,800,C,108.43,1.4196,0.8883,3271,410
2026-07-17,800,P,2.99,1.2121,-0.0794,14647,10675
2026-07-17,850,C,63.78,1.1728,0.7728,2489,1509
2026-07-17,850,P,9.35,1.1062,-0.2153,6415,6799
2026-07-17,900,C,30.95,1.1141,0.5332,4348,11796
2026-07-17,900,P,25.70,1.0335,-0.4667,14942,18096
2026-07-17,950,C,11.38,1.0703,0.2724,2917,12828
2026-07-17,950,P,56.03,0.9678,-0.7504,3681,2930
2026-07-17,1000,C,3.55,1.0826,0.1067,7248,17311
2026-07-17,1000,P,98.45,0.9159,-0.9201,11207,1668
2026-07-17,1050,C,1.11,1.1326,0.0381,4459,5967
2026-07-17,1050,P,145.35,,,3837,283
2026-07-17,1100,C,0.45,1.2282,0.0160,7793,5194
2026-07-17,1100,P,194.15,,,2551,240
2026-07-17,1200,C,0.11,1.4284,0.0039,14062,5061
2026-07-17,1200,P,293.80,,,1348,582
2026-07-17,1300,C,0.05,1.6559,0.0016,8295,1076
2026-07-17,1300,P,395.25,,,0,0
2026-09-18,500,C,422.33,1.1363,0.9315,3509,5
2026-09-18,500,P,12.00,1.0514,-0.0583,6906,190
2026-09-18,600,C,337.50,1.0570,0.8759,2534,18
2026-09-18,600,P,25.43,0.9898,-0.1145,3973,248
2026-09-18,700,C,260.85,0.9928,0.7977,2958,43
2026-09-18,700,P,48.90,0.9521,-0.1976,3284,389
2026-09-18,800,C,195.83,0.9512,0.6982,3637,211
2026-09-18,800,P,84.43,0.9272,-0.3013,4338,333
2026-09-18,850,C,169.58,0.9470,0.6435,704,71
2026-09-18,850,P,106.95,0.9180,-0.3575,1516,284
2026-09-18,900,C,145.15,0.9359,0.5881,4796,2124
2026-09-18,900,P,133.25,0.9150,-0.4142,2884,142
2026-09-18,950,C,124.48,0.9321,0.5337,739,310
2026-09-18,950,P,162.33,0.9119,-0.4698,786,59
2026-09-18,1000,C,105.65,0.9239,0.4802,5593,617
2026-09-18,1000,P,193.95,0.9086,-0.5234,1092,33
2026-09-18,1050,C,90.53,0.9251,0.4309,1187,84
2026-09-18,1050,P,228.60,0.9099,-0.5730,775,55
2026-09-18,1100,C,77.58,0.9269,0.3851,3604,812
2026-09-18,1100,P,264.53,0.9058,-0.6202,1382,7
2026-09-18,1200,C,56.38,0.9271,0.3035,3736,885
2026-09-18,1200,P,343.75,0.9134,-0.6969,748,9
2026-09-18,1300,C,41.58,0.9336,0.2385,2705,303
2026-09-18,1300,P,427.85,0.9193,-0.7559,133,5
2026-10-16,500,C,431.10,1.0658,0.9171,384,5
2026-10-16,500,P,18.98,1.0011,-0.0748,1585,41
2026-10-16,600,C,350.13,0.9996,0.8603,1506,4
2026-10-16,600,P,38.05,0.9661,-0.1355,1988,31
2026-10-16,700,C,281.40,0.9763,0.7832,621,201
2026-10-16,700,P,67.08,0.9411,-0.2141,1310,134
2026-10-16,800,C,222.43,0.9542,0.6958,854,104
2026-10-16,800,P,107.35,0.9256,-0.3046,1729,271
2026-10-16,900,C,173.75,0.9380,0.6042,981,659
2026-10-16,900,P,159.25,0.9201,-0.3984,2055,187
2026-10-16,950,C,153.63,0.9348,0.5592,911,150
2026-10-16,950,P,188.45,0.9158,-0.4444,1019,14
2026-10-16,1000,C,135.83,0.9330,0.5157,4352,311
2026-10-16,1000,P,220.33,0.9147,-0.4885,3042,62
2026-10-16,1050,C,120.20,0.9326,0.4743,569,69
2026-10-16,1050,P,254.95,0.9181,-0.5293,431,3
2026-10-16,1100,C,106.00,0.9307,0.4346,4265,540
2026-10-16,1100,P,289.73,0.9128,-0.5698,2800,5
2026-10-16,1200,C,82.40,0.9278,0.3623,2513,549
2026-10-16,1200,P,366.18,0.9156,-0.6386,179,2
2026-10-16,1300,C,65.68,0.9363,0.3035,1949,113
2026-10-16,1300,P,448.85,0.9283,-0.6913,124,0
